pH_H2O,EC,P,N,K,Elev,OC,OC_log
-1.0309016950343814,-0.1555133195931861,-1.2534582357322341,0.49093134892500173,-0.41071601666646196,-0.147223955047541,47.5,3.8815637979434374
0.4660487822929892,0.04978257671906419,1.3416909793094756,-0.13808634195518038,0.6929901424178944,-0.17708172559115132,18.0,2.9444389791664403
0.12405787973862473,0.2842965769213556,1.1243350647336765,-0.6982694489416289,0.8605206150457952,-0.07259778007895985,12.5,2.6026896854443837
1.3903068333165465,0.7230118341871314,-0.6798597115895327,-0.06415450365252255,0.915456280296354,-0.41621301174867237,22.9,3.173878458937465
1.478251844256052,0.6684210577451837,1.219097092920769,0.4008444140474353,1.0608955156708322,-0.4803140460694391,29.1,3.40452517175483
1.5262946280573428,1.0789883414514503,-0.29568092682597935,-0.13808634195518038,0.39847561028445094,-0.40464052497054304,21.8,3.126760535960395
1.6466241530536139,0.700669251959545,0.07817045209973215,0.3018931978586092,0.8922924710345234,-0.4707807310914986,30.0,3.4339872044851463
1.0244449523956674,0.0847014339707873,0.7454731580266309,-0.2166663758133987,-0.21816596726590412,0.058389547756705004,15.2,2.785011242238338
-0.29878399958539076,0.040901648781250695,-0.4513514523578456,0.871548780667883,-0.40227741730710653,0.034167740818123425,37.3,3.6454498961866
-1.112747546740461,-0.21081780716814758,-0.5153938279549173,0.751640238846771,0.7694231904521811,-0.10015694520888198,41.2,3.742420221041966
0.4582408979099055,0.1499712526616516,1.0032688958942597,-0.06415450365252255,0.38340030065611086,0.053244578793751,16.9,2.884800712846709
-0.2835018439898056,0.9607444163275825,-0.29568092682597935,0.19265169126555953,0.4393710860751943,-0.025211945190656213,21.0,3.091042453358316
0.5598691124786259,1.5952447621553738,-0.6526298590726185,1.8069796162570453,1.532179229981402,0.4248766511621208,169.8,5.14049328135447
0.4582408979099055,0.47173597753756896,1.5136400754117627,0.6119469177217353,1.0637482174109532,0.23106447513508763,31.7,3.487375077903208
-0.0764918858196935,0.9699414768819684,-1.0410373078939652,0.8431857831583942,1.1894095269345584,0.4537836930288044,38.3,3.6712245188752153
-0.4891932717657786,-1.2801604610401696,0.23049861801136415,0.44691747377535745,0.7481408085033182,0.5499823029026967,30.6,3.4531571205928664
0.0236372959966762,-0.36482154402820943,1.1504858874697064,0.07136463715320429,1.4850672200141393,0.5569472552641095,20.9,3.086486636822455
-1.620190035119787,-0.03454693484909849,0.17159893264209272,0.6489963895772077,-0.09938475150547,0.44630034517018186,72.3,4.294560608892605
-1.8157973686440099,0.0016903059819197747,-0.5909944158917227,0.24865968332719504,-1.5513167682669602,0.37046686131774764,45.3,3.835141961092188
-1.7435534001181987,-0.20841650741414275,-0.22046263525828835,1.2848424270228833,-0.6404416299510766,0.8126190140552015,114.6,4.750135956238277
0.0005045376503274558,-0.24243832365830845,1.4907996778344725,0.133638973615029,1.1447261903001718,0.41978723799867784,21.0,3.091042453358316
-1.7000915584700493,-0.9494835831062447,-0.12396290719344978,-0.30036276612537016,-1.3523396156976897,0.45502704200413896,36.2,3.616308761279101
0.2558096333904206,0.5083129870464234,-1.226888120543467,0.751640238846771,0.08736490730500263,0.17062818611501848,36.2,3.616308761279101
0.2092535454776035,0.2094352154163631,0.13602211817546145,-0.4853204138923151,-0.80743280942521,0.30543999562760765,12.7,2.617395832834079
0.7560636806810523,1.3790187753134122,-1.4083270695268648,1.202782283336907,-0.7105145830245386,0.9707153975972038,162.9,5.099256485749784
-0.7086006835310413,0.004749438654300853,-0.2473542531802289,-0.5879007493433449,-0.03338754069861157,0.4056933507759854,12.9,2.631888840136646
0.7954201421820845,1.6029258221595675,-0.8342298148595315,1.6802970311828016,-0.7539140608750792,0.9260539116266174,205.1,5.328361487896413
1.446251800458079,0.382348211734104,-1.423198826952741,-0.8173808733103505,-0.27226445656987613,0.3545089166608354,13.5,2.6741486494265287
0.29465221971351907,-0.5998976216612459,-0.6526298590726185,-0.6982694489416289,-0.6166644526026462,0.2340085980323318,12.1,2.5726122302071057
-0.9936163352911723,-0.42411361733061864,-1.0645494195895864,-0.2166663758133987,-0.44068813532949597,0.003998644850311896,23.2,3.186352633162641
-0.6708866458724099,-0.16360416395523972,-0.6707269048568322,-0.30036276612537016,-0.3700828593863296,0.3770601050777438,18.0,2.9444389791664403
-0.11492457835259857,0.034946612984941394,0.671959604477425,0.3018931978586092,-0.6724098889643756,-0.0159947312463968,22.0,3.1354942159291497
-0.34458688837269574,-0.10577050429972543,-0.2541579065690961,0.871548780667883,-0.8059953998020344,0.33428704219432775,43.6,3.7977338590260183
0.08540037092906062,1.582314766038625,-1.364540959023626,1.3000176527935081,0.6485699568962956,0.5110740582115911,82.4,4.423648309364701
0.10085826292171994,0.18049812630416448,0.3931495471203812,0.6119469177217353,-1.262624913300463,0.1471483596869005,30.4,3.4468078929142076
1.3903068333165465,0.18669224654180747,0.12568424074131582,-0.6982694489416289,0.27227109514590236,-0.11221217914398258,14.9,2.766319109226186
0.5285699632912602,0.885348841598337,2.7616048340386876,0.005541133365465815,1.8279070204684837,-0.03825711108189221,18.0,2.9444389791664403
-0.06880008727506226,-0.1124431179638914,-0.8040348196075489,-0.13808634195518038,-0.8059953998020344,0.3123668391349289,17.9,2.9391619220655967
-1.097885215803328,0.07123521376339083,0.14628217511966096,0.5733250189207204,-0.4937285236647751,0.26737191143847805,55.7,4.037774210733707
1.558351507446896,0.5878743899364677,0.6229002498961588,-0.3897098542947442,1.2912142682174292,-0.26837565026435356,17.0,2.8903717578961645
1.2865965149952898,0.9468074773576073,1.9107191657046856,-0.3897098542947442,1.405352812789048,-0.20125188268786967,16.5,2.8622008809294686
0.5598691124786259,0.6254455350910666,-1.4382128898557738,0.5330250074628671,0.4139557972780511,4.8111378435035075,54.7,4.019980146933238
0.10085826292171994,2.8359836374707053,1.044950298800157,2.094930750411852,1.3062930460609268,4.920072568389958,418.5,6.0390635259072605
